Type ,Name,Website,Instagram Link,Instagram
food.dining,Straight Outta Sould Food,https://www.thumbtack.com/or/eugene/personal-chefs/main-course/service/180787000236500183?category_pk=150767068874637772&search_request_pk=347342063703932934&encoded_answers=eyJzZl9wayI6IjM0NjExNDYzNDA4NzMyNTY5OCIsImFucyI6eyI1IjoiOTc0MDMifX0%3D&lp_request_pk=347342232985796615&is_date_set=true&zip_code=97403&lp_path=%2For%2Fmcminnville%2Fpersonal-chefs%2F&is_zip_code_changed=true&click_origin=pro%20list%2Fclick%20pro%20name&urgency_signal=popular,https://www.instagram.com/straight_outta__soulfood/,straight_outta__soulfood
food.dining,Noisette Pastry Kitchen,https://www.noisettepk.com,https://www.instagram.com/noisettepk/,noisettepk
food.dining,Stewart Soul Fusion,,https://www.instagram.com/stewartssoulfusion/,stewartssoulfusion
food.dining,Irie Jamaican Kitchen,https://www.iriejamaicancuisine.com/blog,https://www.instagram.com/irie_jamaicankitchen/,irie_jamaicankitchen
food.dining,Philyaw's Kitchen,https://philyawscookout.com,https://www.instagram.com/philyawscookout/,philyawscookout
food.dining,Equiano's Coffee,https://linktr.ee/equianocoffee,https://www.instagram.com/equianocoffee/,equianocoffee
haircare.beauty,Blessings Hair Design,https://blessingshairdesign.com,https://www.instagram.com/blessingshairdesign/,blessingshairdesign
haircare.beauty,Beauty by Kinaya,https://www.facebook.com/beautybykinaya/,https://www.instagram.com/beautybykinaya/,beautybykinaya
haircare.beauty,Glamour by A,https://www.styleseat.com/m/v/amirateferi,https://www.instagram.com/glamourbya/,glamourbya
haircare.beauty,Yarbs and Roots,https://yarbsandroots.com,https://www.instagram.com/yarbsandroots/,yarbsandroots
haircare.beauty,Wise Warrior Botanicals,https://wisewarriorbotanicals.com,https://www.instagram.com/wisewarriorbotanicals/,wisewarriorbotanicals
haircare.beauty,Hatchet Botanicals,,https://www.instagram.com/hatchetoriginals/,hatchetoriginals
haircare.beauty,Mo Beauty,https://www.madewithsol.com,https://www.instagram.com/madewithsolshop/,madewithsolshop
haircare.beauty,Kings Klaws,https://elev8cannabis.com,https://www.instagram.com/elev8cannabis/,elev8cannabis
haircare.beauty,Styled by Lillie,https://www.treuhairco.com,https://www.instagram.com/styled_bylillie/,styled_bylillie
haircare.beauty,She Rocks Locks,,https://www.instagram.com/sherockslocs/,sherockslocs
cannabis.vape,Juiced Up Vapors,,https://www.instagram.com/juicedupvapors/,juicedupvapors
cannabis.vape,Elev8Cannabis,https://elev8cannabis.com,https://www.instagram.com/elev8cannabis/,elev8cannabis
retail,Sweet Skins,https://linktr.ee/sweetskinshemp,https://www.instagram.com/sweetskinshemp/,sweetskinshemp
home.decor,De La Terracotta,https://www.etsy.com/shop/delaterracotta,https://www.instagram.com/delaterracotta/,delaterracotta
home.decor,Made with Sol,https://www.madewithsol.com,https://www.instagram.com/madewithsolshop/,madewithsolshop
health,Greene Power Health and Sports,,https://www.instagram.com/livegreene35/,livegreene35
health,Kingdom Elite Cheerleading,https://app.jackrabbitclass.com/regv2.asp?id=537639,https://www.instagram.com/kingdomelitecheerleading/,kingdomelitecheerleading
music,Live Chorus,https://linktr.ee/LiveChorus,https://www.instagram.com/livechorus/,livechorus
music,Xcape Dance Academy,http://xcapedance.com,https://www.instagram.com/xcapedanceacademy/,xcapedanceacademy
auto,Top Class Auto Salon,http://www.topclassautosalon.com,https://www.instagram.com/topclassautosalon/,topclassautosalon
boutiques,Swahili African Modern,https://www.5stmarket.com/swahili-african-market,https://www.instagram.com/swahili5thst/,swahili5thst
animal,Pawsitive Influence Dog Training,,https://www.facebook.com/Pawsitive-Influence-Dog-Training-280302259523050/,Pawsitive Influence Dog Training
